Boogie,Detalii,Rip,Detalii,Alpha,Detalii,Data,,,
$141.00,Hanul Ancutei,$500.00,Benzina,$20.72,Night snacks,11.06.2022,,,
$20.00,Kurtoshi,$35.00,Bere Alimentara,$10.00,Bacsis Hanul Ancutei,,,Payed,HaveToPay
$300.00,Sighisoara masa / bere / bacsis,$151.50,Masa panorama,$60.00,Barca,,Boogie,"$3,900.78",$157.85
$50.00,Sighisoara Cantec,$500.00,Cazare Lacul Rosu,$36.00,Cards,,Rip,"$5,189.11","-$1,130.48"
,,$10.00,Parcarea,$16.00,Sighisoara Muzeu,,Alpha,"$3,085.99",$972.64
,,$96.00,Breakfast,$5.00,Sighisoara Bacsis pe langa Boogie,12.06.2022,TOTAL,"$12,175.88",
,,$20.00,Tips breakfast,$10.00,Sighisoara Cantec Pod,,,,
,,$59.00,Lacul Rosu Bar Beer,$45.00,Sighisoara Tren,,,,
,,$20.00,Sighisoara Muzeu,$86.50,Cumparaturi,,,,
,,$28.89,Profi Sighisoara,,,,,,
$45.00,Bilete Cetate,$570.00,Sighisoara Hotel,$26.00,Cafele Kaufland,13.06.2022,,,
$320.00,Cazare Albă Iulia,$36.00,Visuri Biserica,$43.50,Cumparaturi,,,,
$79.41,Kaufland,$20.00,Tip restaurant,$20.00,Alpha stuff ???,,,,
$106.37,Farmacie,330,Visuri Bacsis,,,,,,
$162.00,Restaurant Albă Iulia,,,,,,,,
$30.00,Alba Iulia Muzeul Unirii,$11.80,Uber,$263.00,Restaurant - Alba Iulia,14.06.2022,,,
,,$521.31,Hotel Baril,$90.00,Astoria - Mic dejun,,,,
,,,,$113.00,Muzeu Corvin,,,,
,,,,$520.02,Benzina,,,,
$175.00,Pranz,$394.00,Camera Hotel,$42.00,Bilete Sarm,15.06.2022,,,
$10.00,Bacsis Terasa,$22.00,Mic dejun ,$45.00,Bilete sarm,,,,
,,$37.11,Inghetata odorizant,$33.00,Detergent,,,,
,,,,$57.02,Cumparaturi,,,,
,,,,$106.00,Terasa,,,,
$193.00,Brunch,,,,,16.06.2022,,,
,,,,$318.90,Art Bistro Grill,,,,
,,,,$116.40,Terasa,,,,
,,,,$174.93,Penny Market,,,,
$150.00,Brunch,,,,,17.06.2022,,,
$314.00,Benzina,$90.00,Barca,$2.00,Parcare,18.06.2022,,,
$16.00,Bilete,$687.50,Cazare Hanul Haiducilor,,,,,,
$118.00,La Conac,,,,,,,,
$24.00,Cumparaturi,,,,,,,,
$104.00,Terasa,,,,,,,,
$306.00,Cazare Apartamente Bucegi,,,,,,,,
$5.00,Parcare Cantacuzino,$200.00,Peles Intrare,$135.00,Bilete Bran,19.06.2022,,,
$50.00,Terasa,$170.00,Cazare,$190.00,Masa,,,,
,,$153.00,Cazare,$14.00,Parcare,,,,
,,,,$155.00,Bilete Cantacuzino,,,,
,,,,$43.00,Sucuri si apa,,,,
,,,,$25.00,Parcare,,,,
,,,,$100.00,Peles bilete,,,,
$612.00,Cazare,$237.00,Mic Dejun,$24.00,Sat Cumparaturi,20.06.2022,,,
$20.00,Coffee,,,,,,,,
$89.00,Pranz,,,,,,,,
$121.00,Cumparaturi ,,,,,,,,
$100.00,Cina,,,,,,,,
$139.00,Breakfast ,$15.00,Parcare,$15.00,Bacsis breakfast,21.06.2022,,,
$101.00,Cumparaturi ,$224.00,Mancare,$90.00,Coffee,,,,
,,$50.00,Cumparaturi,$35.00,Spalare masina,,,,
